Anaheim Ducks,ana
Arizona Coyotes,ari
Boston Bruins,bos
Buffalo Sabres,buf
Calgary Flames,cgy
Carolina Hurricanes,car
Chicago Blackhawks,chi
Colorado Avalanche,col
Columbus Blue Jackets,cbj
Dallas Stars,dal
Detroit Red Wings,det
Edmonton Oilers,edm
Florida Panthers,fla
Los Angeles Kings,lak
Minnesota Wild,min
Montreal Canadiens,mtl
Nashville Predators,nsh
New Jersey Devils,njd
New York Islanders,nyi
New York Rangers,nyr
Ottawa Senators,ott
Philadelphia Flyers,phi
Pittsburgh Penguins,pit
San Jose Sharks,sjs
Seattle Kraken,sea
St Louis Blues,stl
Tampa Bay Lightning,tbl
Toronto Maple Leafs,tor
Vancouver Canucks,van
Vegas Golden Knights,vgk
Washington Capitals,wsh
Winnipeg Jets,wpg
